id,side,entry_time,exit_time,entry_price,exit_price,sl,tp,pnl,entry_reason
1,LONG,2024-01-09 21:00:00,2024-01-09 21:15:00,47918.36,46496.38,46496.38,50762.32,-100.0,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=21.9 | Vol > SMA20)
3,LONG,2024-01-21 13:00:00,2024-01-21 15:30:00,41802.0,41711.72,41711.72,41982.55,-100.98,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=27.1 | Vol > SMA20)
4,SHORT,2024-01-22 09:45:00,2024-01-22 13:00:00,40744.85,41061.3,41061.3,40111.96,-99.97,SHORT (Close < 200 EMA | EMA9 Rejection | MACD < 0 Cross | ADX=31.6 | Vol > SMA20)
6,LONG,2024-01-29 15:45:00,2024-02-01 01:15:00,42641.75,42015.78,42015.78,43893.69,-100.95,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=22.9 | Vol > SMA20)
7,LONG,2024-02-06 07:45:00,2024-02-06 10:45:00,42890.0,42762.69,42762.69,43144.61,-99.94,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=15.3 | Vol > SMA20)
10,LONG,2024-02-19 06:00:00,2024-02-19 08:45:00,52342.81,52068.34,52068.34,52891.76,-102.94,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=17.1 | Vol > SMA20)
11,SHORT,2024-02-23 02:45:00,2024-02-24 17:30:00,51096.39,51503.77,51503.77,50281.63,-101.91,SHORT (Close < 200 EMA | EMA9 Rejection | MACD < 0 Cross | ADX=16.0 | Vol > SMA20)
12,LONG,2024-02-29 08:00:00,2024-02-29 08:15:00,63061.9,62436.8,62436.8,64312.1,-100.89,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=27.6 | Vol > SMA20)
13,LONG,2024-03-01 12:30:00,2024-03-01 14:30:00,62493.49,61989.83,61989.83,63500.81,-99.88,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=17.7 | Vol > SMA20)
15,SHORT,2024-03-07 05:30:00,2024-03-07 07:30:00,65737.99,66206.63,66206.63,64800.71,-100.86,SHORT (Close < 200 EMA | EMA9 Rejection | MACD < 0 Cross | ADX=32.3 | Vol > SMA20)
17,SHORT,2024-03-19 07:00:00,2024-03-19 17:00:00,63956.07,65184.74,65184.74,61498.72,-101.85,SHORT (Close < 200 EMA | EMA9 Rejection | MACD < 0 Cross | ADX=46.8 | Vol > SMA20)
18,LONG,2024-03-26 09:15:00,2024-03-26 13:30:00,71029.99,70478.68,70478.68,72132.61,-100.83,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=16.2 | Vol > SMA20)
19,LONG,2024-03-28 14:15:00,2024-03-28 16:45:00,71042.0,70530.51,70530.51,72064.99,-99.82,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=25.8 | Vol > SMA20)
20,LONG,2024-03-31 12:00:00,2024-03-31 15:15:00,70544.82,70315.62,70315.62,71003.22,-98.82,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=25.5 | Vol > SMA20)
21,LONG,2024-03-31 18:30:00,2024-04-01 04:45:00,70948.0,70468.64,70468.64,71906.72,-97.83,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=21.5 | Vol > SMA20)
22,SHORT,2024-04-02 13:15:00,2024-04-02 14:15:00,64867.99,65645.07,65645.07,63313.84,-96.86,SHORT (Close < 200 EMA | EMA9 Rejection | MACD < 0 Cross | ADX=50.6 | Vol > SMA20)
26,SHORT,2024-04-10 01:00:00,2024-04-10 01:45:00,68871.99,69254.42,69254.42,68107.13,-101.76,SHORT (Close < 200 EMA | EMA9 Rejection | MACD < 0 Cross | ADX=25.2 | Vol > SMA20)
27,SHORT,2024-04-10 12:30:00,2024-04-10 16:30:00,67959.99,69126.91,69126.91,65626.15,-100.74,SHORT (Close < 200 EMA | EMA9 Rejection | MACD < 0 Cross | ADX=20.2 | Vol > SMA20)
28,LONG,2024-04-11 08:30:00,2024-04-11 09:30:00,71123.99,70690.33,70690.33,71991.32,-99.73,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=30.9 | Vol > SMA20)
29,SHORT,2024-04-11 13:30:00,2024-04-12 04:45:00,69820.0,71090.29,71090.29,67279.41,-98.73,SHORT (Close < 200 EMA | EMA9 Rejection | MACD < 0 Cross | ADX=22.1 | Vol > SMA20)
30,SHORT,2024-04-16 10:15:00,2024-04-16 12:30:00,61899.99,63348.31,63348.31,59003.35,-97.75,SHORT (Close < 200 EMA | EMA9 Rejection | MACD < 0 Cross | ADX=18.5 | Vol > SMA20)
35,SHORT,2024-05-01 15:00:00,2024-05-01 17:45:00,56974.94,57699.7,57699.7,55525.43,-104.75,SHORT (Close < 200 EMA | EMA9 Rejection | MACD < 0 Cross | ADX=29.8 | Vol > SMA20)
40,SHORT,2024-05-08 13:00:00,2024-05-08 13:45:00,61909.69,62375.24,62375.24,60978.59,-112.25,SHORT (Close < 200 EMA | EMA9 Rejection | MACD < 0 Cross | ADX=35.2 | Vol > SMA20)
41,LONG,2024-05-10 06:45:00,2024-05-10 11:15:00,63166.0,62816.65,62816.65,63864.7,-111.13,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=30.3 | Vol > SMA20)
43,SHORT,2024-05-14 06:00:00,2024-05-15 09:45:00,61783.34,62823.02,62823.02,59703.98,-112.21,SHORT (Close < 200 EMA | EMA9 Rejection | MACD < 0 Cross | ADX=17.0 | Vol > SMA20)
45,LONG,2024-05-17 14:45:00,2024-05-19 19:00:00,66806.66,66192.67,66192.67,68034.64,-113.31,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=29.9 | Vol > SMA20)
46,LONG,2024-05-20 10:00:00,2024-05-20 13:30:00,67045.17,66776.29,66776.29,67582.93,-112.18,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=15.7 | Vol > SMA20)
47,LONG,2024-05-21 11:15:00,2024-05-21 13:15:00,71221.21,70995.91,70995.91,71671.81,-111.06,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=20.7 | Vol > SMA20)
48,LONG,2024-05-23 11:15:00,2024-05-23 12:45:00,69928.7,69592.42,69592.42,70601.25,-109.95,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=17.7 | Vol > SMA20)
49,SHORT,2024-05-24 13:45:00,2024-05-24 14:15:00,67077.12,67474.07,67474.07,66283.23,-108.85,SHORT (Close < 200 EMA | EMA9 Rejection | MACD < 0 Cross | ADX=15.8 | Vol > SMA20)
50,LONG,2024-05-25 23:00:00,2024-05-26 02:15:00,69294.98,69085.25,69085.25,69714.43,-107.76,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=15.8 | Vol > SMA20)
53,SHORT,2024-06-03 00:15:00,2024-06-03 01:00:00,67665.4,67920.98,67920.98,67154.23,-110.99,SHORT (Close < 200 EMA | EMA9 Rejection | MACD < 0 Cross | ADX=20.4 | Vol > SMA20)
54,LONG,2024-06-05 01:15:00,2024-06-05 14:00:00,71002.12,70543.73,70543.73,71918.9,-109.88,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=20.9 | Vol > SMA20)
55,LONG,2024-06-05 15:15:00,2024-06-05 23:15:00,71543.57,70761.66,70761.66,73107.39,-108.78,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=18.5 | Vol > SMA20)
56,SHORT,2024-06-11 15:30:00,2024-06-11 18:15:00,66125.68,67041.15,67041.15,64294.74,-107.7,SHORT (Close < 200 EMA | EMA9 Rejection | MACD < 0 Cross | ADX=59.8 | Vol > SMA20)
58,LONG,2024-06-20 10:45:00,2024-06-20 13:15:00,66209.49,65700.68,65700.68,67227.1,-108.75,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=33.5 | Vol > SMA20)
59,LONG,2024-06-25 14:15:00,2024-06-25 18:00:00,62084.02,61163.04,61163.04,63925.98,-107.66,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=24.9 | Vol > SMA20)
60,LONG,2024-06-28 01:15:00,2024-06-28 04:15:00,61940.01,61554.77,61554.77,62710.49,-106.59,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=16.7 | Vol > SMA20)
61,LONG,2024-06-29 11:30:00,2024-06-29 14:15:00,61170.0,60956.77,60956.77,61596.46,-105.52,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=28.6 | Vol > SMA20)
62,LONG,2024-06-30 22:15:00,2024-07-02 14:30:00,62942.57,61986.13,61986.13,64855.45,-104.47,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=42.8 | Vol > SMA20)
65,LONG,2024-07-09 01:00:00,2024-07-09 02:00:00,57079.53,56338.14,56338.14,58562.3,-107.6,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=20.7 | Vol > SMA20)
66,LONG,2024-07-09 14:00:00,2024-07-09 15:00:00,57851.15,57004.3,57004.3,59544.86,-106.52,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=18.2 | Vol > SMA20)
67,SHORT,2024-07-10 19:00:00,2024-07-10 22:15:00,57391.84,57740.42,57740.42,56694.68,-105.46,SHORT (Close < 200 EMA | EMA9 Rejection | MACD < 0 Cross | ADX=43.9 | Vol > SMA20)
69,LONG,2024-07-15 22:00:00,2024-07-16 06:45:00,64135.64,63356.12,63356.12,65694.68,-106.49,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=23.4 | Vol > SMA20)
70,LONG,2024-07-18 06:00:00,2024-07-18 10:15:00,64919.68,64612.68,64612.68,65533.68,-105.43,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=16.1 | Vol > SMA20)
71,SHORT,2024-07-25 01:00:00,2024-07-25 21:15:00,64550.0,65666.25,65666.25,62317.5,-104.37,SHORT (Close < 200 EMA | EMA9 Rejection | MACD < 0 Cross | ADX=42.7 | Vol > SMA20)
72,LONG,2024-08-08 12:30:00,2024-08-08 13:45:00,58049.32,56989.9,56989.9,60168.15,-103.33,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=20.7 | Vol > SMA20)
74,SHORT,2024-08-12 07:00:00,2024-08-12 07:30:00,58078.99,58592.1,58592.1,57052.77,-104.34,SHORT (Close < 200 EMA | EMA9 Rejection | MACD < 0 Cross | ADX=19.0 | Vol > SMA20)
75,SHORT,2024-08-15 01:45:00,2024-08-15 12:30:00,58204.93,59087.7,59087.7,56439.38,-103.3,SHORT (Close < 200 EMA | EMA9 Rejection | MACD < 0 Cross | ADX=37.9 | Vol > SMA20)
78,SHORT,2024-08-19 09:45:00,2024-08-19 13:15:00,58006.59,58646.93,58646.93,56725.9,-106.4,SHORT (Close < 200 EMA | EMA9 Rejection | MACD < 0 Cross | ADX=22.8 | Vol > SMA20)
80,LONG,2024-08-20 04:00:00,2024-08-20 11:15:00,60945.51,60462.94,60462.94,61910.66,-107.44,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=64.3 | Vol > SMA20)
82,LONG,2024-08-24 06:30:00,2024-08-24 11:45:00,64197.38,63869.67,63869.67,64852.81,-108.49,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=21.1 | Vol > SMA20)
85,SHORT,2024-08-27 00:45:00,2024-08-27 01:15:00,62722.0,63150.99,63150.99,61864.01,-111.75,SHORT (Close < 200 EMA | EMA9 Rejection | MACD < 0 Cross | ADX=35.5 | Vol > SMA20)
89,SHORT,2024-09-01 14:00:00,2024-09-01 15:45:00,57519.74,58299.91,58299.91,55959.4,-117.4,SHORT (Close < 200 EMA | EMA9 Rejection | MACD < 0 Cross | ADX=24.6 | Vol > SMA20)
90,LONG,2024-09-02 20:45:00,2024-09-03 13:30:00,58992.0,58502.48,58502.48,59971.03,-116.23,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=16.4 | Vol > SMA20)
91,SHORT,2024-09-05 15:15:00,2024-09-06 02:00:00,55977.0,56790.92,56790.92,54349.15,-115.06,SHORT (Close < 200 EMA | EMA9 Rejection | MACD < 0 Cross | ADX=35.1 | Vol > SMA20)
93,LONG,2024-09-19 17:30:00,2024-09-19 19:15:00,63819.93,63217.61,63217.61,65024.57,-116.19,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=31.2 | Vol > SMA20)
94,LONG,2024-09-21 17:00:00,2024-09-21 21:00:00,63322.0,63129.56,63129.56,63706.88,-115.03,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=17.8 | Vol > SMA20)
95,SHORT,2024-09-22 16:00:00,2024-09-22 16:30:00,62491.39,62741.66,62741.66,61990.85,-113.88,SHORT (Close < 200 EMA | EMA9 Rejection | MACD < 0 Cross | ADX=16.2 | Vol > SMA20)
96,LONG,2024-09-27 14:00:00,2024-09-28 09:00:00,66072.0,65468.39,65468.39,67279.22,-112.74,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=24.8 | Vol > SMA20)
97,LONG,2024-09-29 01:45:00,2024-09-29 04:15:00,65872.9,65700.48,65700.48,66217.74,-111.61,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=17.9 | Vol > SMA20)
98,SHORT,2024-09-30 18:00:00,2024-09-30 20:45:00,63388.01,63851.13,63851.13,62461.76,-110.5,SHORT (Close < 200 EMA | EMA9 Rejection | MACD < 0 Cross | ADX=30.8 | Vol > SMA20)
99,LONG,2024-10-04 12:45:00,2024-10-04 14:00:00,61932.24,61264.4,61264.4,63267.92,-109.39,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=28.6 | Vol > SMA20)
100,SHORT,2024-10-08 06:00:00,2024-10-08 11:30:00,62357.51,62622.8,62622.8,61826.93,-108.3,SHORT (Close < 200 EMA | EMA9 Rejection | MACD < 0 Cross | ADX=30.6 | Vol > SMA20)
101,SHORT,2024-10-09 12:30:00,2024-10-09 15:15:00,61878.0,62171.75,62171.75,61290.51,-107.22,SHORT (Close < 200 EMA | EMA9 Rejection | MACD < 0 Cross | ADX=24.4 | Vol > SMA20)
108,LONG,2024-10-24 19:15:00,2024-10-25 05:00:00,68094.0,67679.25,67679.25,68923.5,-119.54,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=21.2 | Vol > SMA20)
113,LONG,2024-11-10 17:30:00,2024-11-10 19:45:00,80200.01,79653.27,79653.27,81293.49,-128.09,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=19.5 | Vol > SMA20)
114,LONG,2024-11-12 06:30:00,2024-11-12 09:15:00,89419.99,88173.6,88173.6,91912.76,-126.81,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=16.6 | Vol > SMA20)
115,SHORT,2024-11-17 01:30:00,2024-11-17 05:00:00,90168.7,90792.59,90792.59,88920.92,-125.55,SHORT (Close < 200 EMA | EMA9 Rejection | MACD < 0 Cross | ADX=25.3 | Vol > SMA20)
117,LONG,2024-11-22 07:15:00,2024-11-22 08:30:00,99232.78,98761.54,98761.54,100175.26,-126.78,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=19.7 | Vol > SMA20)
118,LONG,2024-11-29 14:30:00,2024-11-29 17:15:00,97549.75,97005.1,97005.1,98639.05,-125.51,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=32.2 | Vol > SMA20)
119,LONG,2024-12-02 01:15:00,2024-12-02 03:30:00,98047.98,97394.09,97394.09,99355.77,-124.25,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=20.4 | Vol > SMA20)
120,SHORT,2024-12-04 16:00:00,2024-12-04 18:45:00,95203.5,96015.9,96015.9,93578.7,-123.01,SHORT (Close < 200 EMA | EMA9 Rejection | MACD < 0 Cross | ADX=28.8 | Vol > SMA20)
122,SHORT,2024-12-09 09:15:00,2024-12-09 14:15:00,98575.26,99302.06,99302.06,97121.66,-124.22,SHORT (Close < 200 EMA | EMA9 Rejection | MACD < 0 Cross | ADX=23.3 | Vol > SMA20)
123,SHORT,2024-12-10 02:45:00,2024-12-10 14:00:00,96660.01,97996.53,97996.53,93986.97,-122.97,SHORT (Close < 200 EMA | EMA9 Rejection | MACD < 0 Cross | ADX=33.7 | Vol > SMA20)
124,LONG,2024-12-12 02:45:00,2024-12-12 04:45:00,101824.76,100683.04,100683.04,104108.19,-121.74,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=24.4 | Vol > SMA20)
126,LONG,2024-12-27 09:00:00,2024-12-27 14:30:00,97298.54,95420.55,95420.55,101054.51,-122.94,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=16.9 | Vol > SMA20)
127,SHORT,2025-01-01 08:15:00,2025-01-01 12:15:00,93416.41,93835.35,93835.35,92578.53,-121.71,SHORT (Close < 200 EMA | EMA9 Rejection | MACD < 0 Cross | ADX=15.6 | Vol > SMA20)
130,SHORT,2025-01-08 11:30:00,2025-01-08 14:30:00,94783.99,95765.0,95765.0,92821.96,-125.36,SHORT (Close < 200 EMA | EMA9 Rejection | MACD < 0 Cross | ADX=38.3 | Vol > SMA20)
132,LONG,2025-01-21 16:00:00,2025-01-22 16:30:00,106043.46,103434.85,103434.85,111260.67,-126.59,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=24.6 | Vol > SMA20)
133,SHORT,2025-01-23 03:45:00,2025-01-23 14:30:00,102461.25,103169.64,103169.64,101044.48,-125.32,SHORT (Close < 200 EMA | EMA9 Rejection | MACD < 0 Cross | ADX=31.7 | Vol > SMA20)
134,LONG,2025-01-24 14:30:00,2025-01-24 23:00:00,106222.0,104471.83,104471.83,109722.33,-124.07,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=31.3 | Vol > SMA20)
135,LONG,2025-01-26 18:00:00,2025-01-26 21:00:00,105086.17,104844.15,104844.15,105570.21,-122.83,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=25.3 | Vol > SMA20)
136,LONG,2025-01-29 19:30:00,2025-02-01 20:15:00,103448.29,101193.22,101193.22,107958.44,-121.6,LONG (Close > 200 EMA | EMA9 Bounce | MACD > 0 Cross | ADX=19.5 | Vol > SMA20)
139,SHORT,2025-02-05 22:15:00,2025-02-06 02:00:00,96530.87,97271.01,97271.01,95050.6,-125.25,SHORT (Close < 200 EMA | EMA9 Rejection | MACD < 0 Cross | ADX=24.5 | Vol > SMA20)
